000014ea	s_tDeviceExtension.so;libs3eSmartF_000014ea	ds "tDeviceExtension.so;libs3eSmartFox.so;libs3eObbGui.so\"\n"	s_tDeviceExtension.so;libs3eSmartF_000014ea
0078c4f9		ds "reloadScreenText"	s_reloadScreenText_0078c4f9
0078c50d		ds "PainRecharge for Magic not found"	s_PainRecharge_for_Magic_not_found_0078c50d
0078c531		ds "DamageRecharge for Magic not found"	s_DamageRecharge_for_Magic_not_fou_0078c531
0078c555		ds "FrameReduction"	s_FrameReduction_0078c555
0078c565		ds "LooseningDelay"	s_LooseningDelay_0078c565
0078c575		ds "SetAttribute"	s_SetAttribute_0078c575
0078c585		ds "CriticalHitChance"	s_CriticalHitChance_0078c585
0078c599		ds "HeadHitChance"	s_HeadHitChance_0078c599
0078c5a9		ds "CameraSettings"	s_CameraSettings_0078c5a9
0078c5b9		ds "CameraNode"	s_CameraNode_0078c5b9
0078c5c5		ds "BindingNode"	s_BindingNode_0078c5c5
0078c5d1		ds "BindingLength"	s_BindingLength_0078c5d1
0078c5e1		ds "MaxWidth"	s_MaxWidth_0078c5e1
0078c5ed		ds "MaxWidthDelta"	s_MaxWidthDelta_0078c5ed
0078c5fd		ds "DamageMultiplier"	s_DamageMultiplier_0078c5fd
0078c611		ds "NetDamage"	s_NetDamage_0078c611
0078c61d		ds "MinAttributeDifference"	s_MinAttributeDifference_0078c61d
0078c635		ds "ERROR: logItemPurchase() - empty item"	s_ERROR:_logItemPurchase()_-_empty_0078c635
0078c65d		ds "ERROR: logItemPurchase() - Item_Consumable without price"	s_ERROR:_logItemPurchase()_-_Item__0078c65d
0078c699		ds "LeftLimit"	s_LeftLimit_0078c699
0078c6a5		ds "RightLimit"	s_RightLimit_0078c6a5
0078c6b1		ds "LevelMultiplier"	s_LevelMultiplier_0078c6b1
0078c6c1		ds "AttributeLimits"	s_AttributeLimits_0078c6c1
0078c6d1		ds "ItemLimits"	s_ItemLimits_0078c6d1
0078c6dd		ds "StylePerHit"	s_StylePerHit_0078c6dd
0078c6e9		ds "Error: InternalSettings->StyleLevels: Attribute StylePerHit is absent!"	s_Error:_InternalSettings->StyleLe_0078c6e9
0078c731		ds "DecreaseSpeed"	s_DecreaseSpeed_0078c731
0078c741		ds "Error: InternalSettings->StyleLevels: Attribute DecreaseSpeed is absent!"	s_Error:_InternalSettings->StyleLe_0078c741
0078c78d		ds "Penalty"	s_Penalty_0078c78d
0078c795		ds "Error: InternalSettings->StyleLevels: Attribute Penalty is absent!"	s_Error:_InternalSettings->StyleLe_0078c795
0078c7d9		ds "StyleMultiplier"	s_StyleMultiplier_0078c7d9
0078c7e9		ds "TextImage"	s_TextImage_0078c7e9
0078c7f5		ds "BarImage"	s_BarImage_0078c7f5
0078c801		ds "Error: InternalSettings->StyleLevels: Styles is absent!"	s_Error:_InternalSettings->StyleLe_0078c801
0078c839		ds "Error - counter == 0"	s_Error_-_counter_==_0_0078c839
0078c851		ds "Delays"	s_Delays_0078c851
0078c859		ds "Styles"	s_Styles_0078c859
0078c861		ds "Agressive"	s_Agressive_0078c861
0078c86d		ds "DefaultPrizeBaseFactor"	s_DefaultPrizeBaseFactor_0078c86d
0078c885		ds "HeadShot"	s_HeadShot_0078c885
0078c891		ds "LimitingAttribute"	s_LimitingAttribute_0078c891
0078c8a5		ds "Point"	s_Point_0078c8a5
0078c8ad		ds "Format"	s_Format_0078c8ad
0078c8b5		ds "ShopHidden"	s_ShopHidden_0078c8b5
0078c8c1		ds "ProfileHidden"	s_ProfileHidden_0078c8c1
0078c8d1		ds "Insufficient Currency"	s_Insufficient_Currency_0078c8d1
0078c8e9		ds "dlgFBPostMessage"	s_dlgFBPostMessage_0078c8e9
0078c8fd		ds "dlgFBPostName"	s_dlgFBPostName_0078c8fd
0078c90d		ds "enchantment_notification"	s_enchantment_notification_0078c90d
0078c929		ds "item_notification"	s_item_notification_0078c929
0078c93d		ds "RaidButtonTutorial"	s_RaidButtonTutorial_0078c93d
0078c951		ds "RaidGiveKeyTutorial"	s_RaidGiveKeyTutorial_0078c951
0078c965		ds "FirstRaidEnterTutorial"	s_FirstRaidEnterTutorial_0078c965
0078c97d		ds "RaidFinalFightTutorial"	s_RaidFinalFightTutorial_0078c97d
0078c995		ds "LeagueWindowTutorial"	s_LeagueWindowTutorial_0078c995
0078c9ad		ds "RaidShopNotification"	s_RaidShopNotification_0078c9ad
0078c9c5		ds "TutorialComplete"	s_TutorialComplete_0078c9c5
0078c9d9		ds "zone_id"	s_zone_id_0078c9d9
0078c9e1		ds "Surrender"	s_Surrender_0078c9e1
0078c9ed		ds "0 == fightList"	s_0_==_fightList_0078c9ed
0078c9fd		ds "Stage Complete"	s_Stage_Complete_0078c9fd
0078ca0d		ds "Stage Failed"	s_Stage_Failed_0078ca0d
0078ca1d		ds "raid_league_finished"	s_raid_league_finished_0078ca1d
0078ca35		ds "SeasonEndPush"	s_SeasonEndPush_0078ca35
0078ca45		ds "assets/animations/moves.xsd"	s_assets/animations/moves.xsd_0078ca45
0078ca61		ds "assets/localizations/chn.xml"	s_assets/localizations/chn.xml_0078ca61
0078ca81		ds "assets/localizations/chn_tr.xml"	s_assets/localizations/chn_tr.xml_0078ca81
0078caa1		ds "assets/localizations/eng.xml"	s_assets/localizations/eng.xml_0078caa1
0078cac1		ds "assets/localizations/fra.xml"	s_assets/localizations/fra.xml_0078cac1
0078cae1		ds "assets/localizations/ger.xml"	s_assets/localizations/ger.xml_0078cae1
0078cb01		ds "assets/localizations/ita.xml"	s_assets/localizations/ita.xml_0078cb01
0078cb21		ds "assets/localizations/jpn.xml"	s_assets/localizations/jpn.xml_0078cb21
0078cb41		ds "assets/localizations/kor.xml"	s_assets/localizations/kor.xml_0078cb41
0078cb61		ds "assets/localizations/por.xml"	s_assets/localizations/por.xml_0078cb61
0078cb81		ds "assets/localizations/rus.xml"	s_assets/localizations/rus.xml_0078cb81
0078cba1		ds "assets/localizations/spa.xml"	s_assets/localizations/spa.xml_0078cba1
0078cbc1		ds "assets/localizations/tur.xml"	s_assets/localizations/tur.xml_0078cbc1
0078cbe1		ds "assets/models/armor_green.xml"	s_assets/models/armor_green.xml_0078cbe1
0078cc01		ds "assets/models/armor_hw14_wicked_veil.xml"	s_assets/models/armor_hw14_wicked__0078cc01
0078cc2d		ds "assets/models/armor_hw15_wicked_veil.xml"	s_assets/models/armor_hw15_wicked__0078cc2d
0078cc59		ds "assets/models/armor_kendo.xml"	s_assets/models/armor_kendo.xml_0078cc59
0078cc79		ds "assets/models/armor_leather.xml"	s_assets/models/armor_leather.xml_0078cc79
0078cc99		ds "assets/models/armor_quilted.xml"	s_assets/models/armor_quilted.xml_0078cc99
0078ccb9		ds "assets/models/armor_robe.xml"	s_assets/models/armor_robe.xml_0078ccb9
0078ccd9		ds "assets/models/armor_ronin.xml"	s_assets/models/armor_ronin.xml_0078ccd9
0078ccf9		ds "assets/models/armor_super_spiked.xml"	s_assets/models/armor_super_spiked_0078ccf9
0078cd21		ds "assets/models/armor_woman_barbarian.xml"	s_assets/models/armor_woman_barbar_0078cd21
0078cd49		ds "assets/models/armor_woman_green.xml"	s_assets/models/armor_woman_green._0078cd49
0078cd6d		ds "assets/models/armor_woman_ronin.xml"	s_assets/models/armor_woman_ronin._0078cd6d
0078cd91		ds "assets/models/armor_xmas14_santa.xml"	s_assets/models/armor_xmas14_santa_0078cd91
0078cdb9		ds "assets/models/body.xml"	s_assets/models/body.xml_0078cdb9
0078cdd1		ds "assets/models/body_brick.xml"	s_assets/models/body_brick.xml_0078cdd1
0078cdf1		ds "assets/models/body_kenji.xml"	s_assets/models/body_kenji.xml_0078cdf1
0078ce11		ds "assets/models/body_lynx.xml"	s_assets/models/body_lynx.xml_0078ce11
0078ce2d		ds "assets/models/body_monkey.xml"	s_assets/models/body_monkey.xml_0078ce2d
0078ce4d		ds "assets/models/body_shin.xml"	s_assets/models/body_shin.xml_0078ce4d
0078ce69		ds "assets/models/body_woman.xml"	s_assets/models/body_woman.xml_0078ce69
0078ce89		ds "assets/models/head.xml"	s_assets/models/head.xml_0078ce89
0078cea1		ds "assets/models/head_brick.xml"	s_assets/models/head_brick.xml_0078cea1
0078cec1		ds "assets/models/head_disciple.xml"	s_assets/models/head_disciple.xml_0078cec1
0078cee1		ds "assets/models/head_kenji.xml"	s_assets/models/head_kenji.xml_0078cee1
0078cf01		ds "assets/models/head_lynx.xml"	s_assets/models/head_lynx.xml_0078cf01
0078cf1d		ds "assets/models/head_monkey.xml"	s_assets/models/head_monkey.xml_0078cf1d
0078cf3d		ds "assets/models/head_night.xml"	s_assets/models/head_night.xml_0078cf3d
0078cf5d		ds "assets/models/helm_closed.xml"	s_assets/models/helm_closed.xml_0078cf5d
0078cf7d		ds "assets/models/helm_conical_hat.xml"	s_assets/models/helm_conical_hat.x_0078cf7d
0078cfa1		ds "assets/models/helm_gabled.xml"	s_assets/models/helm_gabled.xml_0078cfa1
0078cfc1		ds "assets/models/helm_green_mask.xml"	s_assets/models/helm_green_mask.xm_0078cfc1
0078cfe5		ds "assets/models/helm_hw14_pumpkin.xml"	s_assets/models/helm_hw14_pumpkin._0078cfe5
0078d009		ds "assets/models/helm_hw14_witch.xml"	s_assets/models/helm_hw14_witch.xm_0078d009
0078d02d		ds "assets/models/helm_kabuto.xml"	s_assets/models/helm_kabuto.xml_0078d02d
0078d04d		ds "assets/models/helm_kendo_mask.xml"	s_assets/models/helm_kendo_mask.xm_0078d04d
0078d071		ds "assets/models/helm_light.xml"	s_assets/models/helm_light.xml_0078d071
0078d091		ds "assets/models/helm_soldier_kabuto.xml"	s_assets/models/helm_soldier_kabut_0078d091
0078d0b9		ds "assets/models/helm_starter_pack.xml"	s_assets/models/helm_starter_pack._0078d0b9
0078d0dd		ds "assets/models/helm_super_mask.xml"	s_assets/models/helm_super_mask.xm_0078d0dd
0078d101		ds "assets/models/helm_xmas14_horns.xml"	s_assets/models/helm_xmas14_horns._0078d101
0078d125		ds "assets/models/helm_xmas14_santa.xml"	s_assets/models/helm_xmas14_santa._0078d125
0078d149		ds "assets/models/magic_fireball.xml"	s_assets/models/magic_fireball.xml_0078d149
0078d16d		ds "assets/models/magic_lightning.xml"	s_assets/models/magic_lightning.xm_0078d16d
0078d191		ds "assets/models/magic_root_stun.xml"	s_assets/models/magic_root_stun.xm_0078d191
0078d1b5		ds "assets/models/punching_bag.xml"	s_assets/models/punching_bag.xml_0078d1b5
0078d1d5		ds "assets/models/ranged_hw15_skull.xml"	s_assets/models/ranged_hw15_skull._0078d1d5
0078d1f9		ds "assets/models/ranged_shurikens.xml"	s_assets/models/ranged_shurikens.x_0078d1f9
0078d21d		ds "assets/models/ranged_throwing_daggers.xml"	s_assets/models/ranged_throwing_da_0078d21d
0078d249		ds "assets/models/ranged_xmas14_snowballs.xml"	s_assets/models/ranged_xmas14_snow_0078d249
0078d275		ds "assets/models/skeleton.xml"	s_assets/models/skeleton.xml_0078d275
0078d291		ds "assets/models/skeleton_heavy.xml"	s_assets/models/skeleton_heavy.xml_0078d291
0078d2b5		ds "assets/models/skeleton_magic.xml"	s_assets/models/skeleton_magic.xml_0078d2b5
0078d2d9		ds "assets/models/skeleton_missile.xml"	s_assets/models/skeleton_missile.x_0078d2d9
0078d2fd		ds "assets/models/skeleton_punching_bag.xml"	s_assets/models/skeleton_punching__0078d2fd
0078d325		ds "assets/models/weapon_batons.xml"	s_assets/models/weapon_batons.xml_0078d325
0078d345		ds "assets/models/weapon_claws.xml"	s_assets/models/weapon_claws.xml_0078d345
0078d365		ds "assets/models/weapon_daggers.xml"	s_assets/models/weapon_daggers.xml_0078d365
0078d389		ds "assets/models/weapon_hw14_broom.xml"	s_assets/models/weapon_hw14_broom._0078d389
0078d3ad		ds "assets/models/weapon_hw14_scythe.xml"	s_assets/models/weapon_hw14_scythe_0078d3ad
0078d3d5		ds "assets/models/weapon_knives.xml"	s_assets/models/weapon_knives.xml_0078d3d5
0078d3f5		ds "assets/models/weapon_knuckles.xml"	s_assets/models/weapon_knuckles.xm_0078d3f5
0078d419		ds "assets/models/weapon_kunai.xml"	s_assets/models/weapon_kunai.xml_0078d419
0078d439		ds "assets/models/weapon_machete.xml"	s_assets/models/weapon_machete.xml_0078d439
0078d45d		ds "assets/models/weapon_ninja_sword.xml"	s_assets/models/weapon_ninja_sword_0078d45d
0078d485		ds "assets/models/weapon_nunchaku.xml"	s_assets/models/weapon_nunchaku.xm_0078d485
0078d4a9		ds "assets/models/weapon_sai.xml"	s_assets/models/weapon_sai.xml_0078d4a9
0078d4c9		ds "assets/models/weapon_starter_pack_tonfa.xml"	s_assets/models/weapon_starter_pac_0078d4c9
0078d4f5		ds "assets/models/weapon_super_kusarigama.xml"	s_assets/models/weapon_super_kusar_0078d4f5
0078d521		ds "assets/models/weapon_super_spear.xml"	s_assets/models/weapon_super_spear_0078d521
0078d549		ds "assets/models/weapon_swords.xml"	s_assets/models/weapon_swords.xml_0078d549
0078d569		ds "assets/models/weapon_triangle_knives.xml"	s_assets/models/weapon_triangle_kn_0078d569
0078d595		ds "assets/models/weapon_xmas14_canes.xml"	s_assets/models/weapon_xmas14_cane_0078d595
0078d5bd		ds "assets/quest_extensions/promotions.xml"	s_assets/quest_extensions/promotio_0078d5bd
0078d5e5		ds "assets/quest_extensions/raid_quests.xml"	s_assets/quest_extensions/raid_que_0078d5e5
0078d60d		ds "assets/quest_extensions/intermission/story.xml"	s_assets/quest_extensions/intermis_0078d60d
0078d63d		ds "assets/quest_extensions/zone_1/core.xml"	s_assets/quest_extensions/zone_1/c_0078d63d
0078d665		ds "assets/quest_extensions/zone_1/story.xml"	s_assets/quest_extensions/zone_1/s_0078d665
0078d691		ds "assets/quest_extensions/zone_2/core.xml"	s_assets/quest_extensions/zone_2/c_0078d691
0078d6b9		ds "assets/quest_extensions/zone_2/story.xml"	s_assets/quest_extensions/zone_2/s_0078d6b9
0078d6e5		ds "assets/quest_extensions/zone_3/core.xml"	s_assets/quest_extensions/zone_3/c_0078d6e5
0078d70d		ds "assets/quest_extensions/zone_3/story.xml"	s_assets/quest_extensions/zone_3/s_0078d70d
0078d739		ds "assets/quest_extensions/zone_4/core.xml"	s_assets/quest_extensions/zone_4/c_0078d739
0078d761		ds "assets/quest_extensions/zone_4/story.xml"	s_assets/quest_extensions/zone_4/s_0078d761
0078d78d		ds "assets/quest_extensions/zone_5/core.xml"	s_assets/quest_extensions/zone_5/c_0078d78d
0078d7b5		ds "assets/quest_extensions/zone_5/story.xml"	s_assets/quest_extensions/zone_5/s_0078d7b5
0078d7e1		ds "assets/quest_extensions/zone_6/story.xml"	s_assets/quest_extensions/zone_6/s_0078d7e1
0078d80d		ds "assets/quest_extensions/zone_7/story.xml"	s_assets/quest_extensions/zone_7/s_0078d80d
0078d85d		ds "15LedgerManagerSF"	s_15LedgerManagerSF_0078d85d
0078d871		ds "admin"	s_admin_0078d871
0078d881		ds "dlgGotGift{textures/misc/ruby.png}{"	s_dlgGotGift{textures/misc/ruby.pn_0078d881
0078d8a5		ds "COINS"	s_COINS_0078d8a5
0078d8ad		ds "dlgGotGift{textures/misc/gold.png}{"	s_dlgGotGift{textures/misc/gold.pn_0078d8ad
0078d8d1		ds "LedgerManagerSF::giveReward Unknown currency type"	s_LedgerManagerSF::giveReward_Unkn_0078d8d1
0078d905		ds "10LinksOwner"	s_10LinksOwner_0078d905
0078d915		ds "12LinksCounter"	s_12LinksCounter_0078d915
0078d925		ds "LastRaidID"	s_LastRaidID_0078d925
0078d931		ds "15ModelParameters"	s_15ModelParameters_0078d931
0078d945		ds "Parameter \"%s\" not found!"	s_Parameter_"%s"_not_found!_0078d945
0078d961		ds "Parameters not found!"	s_Parameters_not_found!_0078d961
0078d979		ds " ModelParameters::setItemsFromRules - UserItem not found "	s_ModelParameters::setItemsFromRul_0078d979
0078d9b5		ds "AverageQuantity"	s_AverageQuantity_0078d9b5
0078d9c5		ds "RechargeRate"	s_RechargeRate_0078d9c5
0078d9d5		ds "MagicRechargeRate"	s_MagicRechargeRate_0078d9d5
0078d9e9		ds "User ID='%d' SilhouetteItemID='%d' WeaponID='%d' Strength='%f' Stamina='%f' Dan='%d' Damage='%f' Difficulty='%f' FirstName='%s' LastName='%s'  Level='%d' LotteryLevel='%u' "	s_User_ID='%d'_SilhouetteItemID='%_0078d9e9
0078da99		ds "- WeaponDamage:   %3.3f"	s_-_WeaponDamage:_%3.3f_0078da99
0078dab1		ds "- UnarmedDamage:  %3.3f"	s_-_UnarmedDamage:_%3.3f_0078dab1
0078dac9		ds "- BodyDefense:    %3.3f"	s_-_BodyDefense:_%3.3f_0078dac9
0078dae1		ds "- HeadDefense:    %3.3f"	s_-_HeadDefense:_%3.3f_0078dae1
0078daf9		ds "- RangedDamage:   %3.3f"	s_-_RangedDamage:_%3.3f_0078daf9
0078db11		ds "- MagicDamage:    %3.3f"	s_-_MagicDamage:_%3.3f_0078db11
0078db29		ds "- RangedQuantity: %3.3f"	s_-_RangedQuantity:_%3.3f_0078db29
0078db41		ds "ImpossibleRatio"	s_ImpossibleRatio_0078db41
0078db51		ds "EasyRatio"	s_EasyRatio_0078db51
0078db5d		ds "PerkAspectParameter"	s_PerkAspectParameter_0078db5d
0078db71		ds "Count of DefenseAttribute != 1"	s_Count_of_DefenseAttribute_!=_1_0078db71
0078db91		ds "12PerkInfoItem"	s_12PerkInfoItem_0078db91
0078dba1		ds "Multiplier"	s_Multiplier_0078dba1
0078dbad		ds "EnemyAttribute"	s_EnemyAttribute_0078dbad
0078dbbd		ds "Aspect function error! Number of argument is not 1: %s"	s_Aspect_function_error!_Number_of_0078dbbd
0078dbf5		ds "DefenseAttribute"	s_DefenseAttribute_0078dbf5
0078dc09		ds "BaseDamage"	s_BaseDamage_0078dc09
0078dc15		ds "isPlayer"	s_isPlayer_0078dc15
0078dc29		ds "StyleGain"	s_StyleGain_0078dc29
0078dc35		ds "MagicCharge"	s_MagicCharge_0078dc35
0078dc41		ds "TimePassed"	s_TimePassed_0078dc41
0078dc4d		ds "Abs function error! Argument is not valid expression: %s"	s_Abs_function_error!_Argument_is_n_0078dc4d
0078dc89		ds "isRaid"	s_isRaid_0078dc89
0078dc99		ds "trunc"	s_trunc_0078dc99
0078dca5		ds "RoundingError"	s_RoundingError_0078dca5
0078dcb5		ds "UniformFloatRandom"	s_UniformFloatRandom_0078dcb5
0078dcc9		ds "CurrentFight"	s_CurrentFight_0078dcc9
0078dcd9		ds "Compare"	s_Compare_0078dcd9
0078dce1		ds "PlayerAttribute"	s_PlayerAttribute_0078dce1
0078dcf1		ds "PlayerParameter"	s_PlayerParameter_0078dcf1
0078dd01		ds "RoundParameter"	s_RoundParameter_0078dd01
0078dd11		ds "StringInArray"	s_StringInArray_0078dd11
0078dd29		ds "CoordY"	s_CoordY_0078dd29
0078dd39		ds "RandomAspect"	s_RandomAspect_0078dd39
0078dd4d		ds "BarShift"	s_BarShift_0078dd4d
0078dd59		ds "BarSetAttribute"	s_BarSetAttribute_0078dd59
0078dd69		ds "ItemSet"	s_ItemSet_0078dd69
0078dd71		ds "PerkType"	s_PerkType_0078dd71
0078dd7d		ds "15ModHealthChange"	s_15ModHealthChange_0078dd7d
0078dd91		ds "15ModInvisibility"	s_15ModInvisibility_0078dd91
0078dda5		ds "20PerkActionSetTactics"	s_20PerkActionSetTactics_0078dda5
0078ddbd		ds "17PerkActionProvoke"	s_17PerkActionProvoke_0078ddbd
0078ddd1		ds "19PerkActionLifesteal"	s_19PerkActionLifesteal_0078ddd1
0078dde9		ds "21PerkActionClearAction"	s_21PerkActionClearAction_0078dde9
0078de01		ds "14PerkActionFlag"	s_14PerkActionFlag_0078de01
0078de15		ds "25PerkActionDisableInterval"	s_25PerkActionDisableInterval_0078de15
0078de31		ds "22PerkActionSetModEffect"	s_22PerkActionSetModEffect_0078de31
0078de4d		ds "10PerkAction"	s_10PerkAction_0078de4d
0078de5d		ds "21PerkActionModificator"	s_21PerkActionModificator_0078de5d
0078de75		ds "18PerkActionShowIcon"	s_18PerkActionShowIcon_0078de75
0078de8d		ds "18PerkActionVariable"	s_18PerkActionVariable_0078de8d
0078dea5		ds "21PerkActionSetVariable"	s_21PerkActionSetVariable_0078dea5
0078debd		ds "23PerkActionSetAttributes"	s_23PerkActionSetAttributes_0078debd
0078ded9		ds "20PerkActionAddBullets"	s_20PerkActionAddBullets_0078ded9
0078def1		ds "24PerkActionAddMagicCharge"	s_24PerkActionAddMagicCharge_0078def1
0078df0d		ds "16PerkActionSetHit"	s_16PerkActionSetHit_0078df0d
0078df21		ds "22PerkActionSetModFrames"	s_22PerkActionSetModFrames_0078df21
0078df3d		ds "21PerkActionSetCooldown"	s_21PerkActionSetCooldown_0078df3d
0078df55		ds "23PerkActionChangeImpulse"	s_23PerkActionChangeImpulse_0078df55
0078df71		ds "30PerkActionChangeHitEffectScale"	s_30PerkActionChangeHitEffectScale_0078df71
0078df95		ds "37PerkActionChangeAdditionalDamageValue"	s_37PerkActionChangeAdditionalDama_0078df95
0078dfbd		ds "ModIcon"	s_ModIcon_0078dfbd
0078dfc5		ds "ModAttributes"	s_ModAttributes_0078dfc5
0078dfd5		ds "ModFlag"	s_ModFlag_0078dfd5
0078dfdd		ds "ClearMods"	s_ClearMods_0078dfdd
0078dfe9		ds "DisableInterval"	s_DisableInterval_0078dfe9
0078dff9		ds "SetHit"	s_SetHit_0078dff9
0078e001		ds "AddMagicCharge"	s_AddMagicCharge_0078e001
0078e011		ds "SetModFrames"	s_SetModFrames_0078e011
0078e021		ds "ApplyModEffect"	s_ApplyModEffect_0078e021
0078e031		ds "ModHealthChange"	s_ModHealthChange_0078e031
0078e041		ds "Provoke"	s_Provoke_0078e041
0078e049		ds "ModInvisibility"	s_ModInvisibility_0078e049
0078e059		ds "ModVariable"	s_ModVariable_0078e059
0078e065		ds "ChangeImpulse"	s_ChangeImpulse_0078e065
0078e075		ds "ChangeHitEffectScale"	s_ChangeHitEffectScale_0078e075
0078e08d		ds "ChangeAdditionalDamageValue"	s_ChangeAdditionalDamageValue_0078e08d
0078e0a9		ds "Namespace"	s_Namespace_0078e0a9
0078e0b5		ds "IntervalName"	s_IntervalName_0078e0b5
0078e0c5		ds "IntervalType"	s_IntervalType_0078e0c5
0078e0d5		ds "Pulse"	s_Pulse_0078e0d5
0078e0dd		ds "PerFrameValue"	s_PerFrameValue_0078e0dd
0078e0ed		ds "Stack"	s_Stack_0078e0ed
0078e0f5		ds "ShowExpiration"	s_ShowExpiration_0078e0f5
0078e105		ds "ExpirationVer"	s_ExpirationVer_0078e105
0078e115		ds "MinValue"	s_MinValue_0078e115
0078e121		ds "MaxValue"	s_MaxValue_0078e121
0078e12d		ds "BulletType"	s_BulletType_0078e12d
0078e139		ds "MultiplierX"	s_MultiplierX_0078e139
0078e145		ds "MultiplierY"	s_MultiplierY_0078e145
0078e151		ds "MultiplierZ"	s_MultiplierZ_0078e151
0078e15d		ds "13PerkCondition"	s_13PerkCondition_0078e15d
0078e16d		ds "23PerkConditionComparison"	s_23PerkConditionComparison_0078e16d
0078e189		ds "19PerkConditionRandom"	s_19PerkConditionRandom_0078e189
0078e1a1		ds "18PerkConditionStyle"	s_18PerkConditionStyle_0078e1a1
0078e1b9		ds "18PerkConditionCombo"	s_18PerkConditionCombo_0078e1b9
0078e1d1		ds "23PerkConditionRoundStage"	s_23PerkConditionRoundStage_0078e1d1
0078e1ed		ds "29PerkConditionCurrentAnimation"	s_29PerkConditionCurrentAnimation_0078e1ed
0078e20d		ds "28PerkConditionCurrentInterval"	s_28PerkConditionCurrentInterval_0078e20d
0078e22d		ds "19PerkConditionHealth"	s_19PerkConditionHealth_0078e22d
0078e245		ds "17PerkConditionPain"	s_17PerkConditionPain_0078e245
0078e259		ds "17PerkConditionItem"	s_17PerkConditionItem_0078e259
0078e26d		ds "18PerkConditionRound"	s_18PerkConditionRound_0078e26d
0078e285		ds "20PerkConditionBullets"	s_20PerkConditionBullets_0078e285
0078e29d		ds "18PerkConditionMagic"	s_18PerkConditionMagic_0078e29d
0078e2b5		ds "22PerkConditionModExists"	s_22PerkConditionModExists_0078e2b5
0078e2d1		ds "22PerkConditionInTheArea"	s_22PerkConditionInTheArea_0078e2d1
0078e2ed		ds "18PerkConditionStart"	s_18PerkConditionStart_0078e2ed
0078e305		ds "21PerkConditionOperator"	s_21PerkConditionOperator_0078e305
0078e31d		ds "PerkConditionHealth::isEqual - model is null"	s_PerkConditionHealth::isEqual_-_m_0078e31d
0078e34d		ds "InTheArea"	s_InTheArea_0078e34d
0078e359		ds "PerkStart"	s_PerkStart_0078e359
0078e365		ds "?Compare["	s_?Compare[_0078e365
0078e371		ds "9PerkEvent"	s_9PerkEvent_0078e371
0078e37d		ds "16PerkEventPostHit"	s_16PerkEventPostHit_0078e37d
0078e391		ds "19PerkEventRoundStage"	s_19PerkEventRoundStage_0078e391
0078e3a9		ds "19PerkEventEveryFrame"	s_19PerkEventEveryFrame_0078e3a9
0078e3c1		ds "19PerkEventModExpires"	s_19PerkEventModExpires_0078e3c1
0078e3d9		ds "16PerkEventPreCrit"	s_16PerkEventPreCrit_0078e3d9
0078e3ed		ds "17PerkEventPostCrit"	s_17PerkEventPostCrit_0078e3ed
0078e401		ds "23PerkEventAnimationStart"	s_23PerkEventAnimationStart_0078e401
0078e41d		ds "21PerkEventAnimationEnd"	s_21PerkEventAnimationEnd_0078e41d
0078e435		ds "18PerkEventAreaEnter"	s_18PerkEventAreaEnter_0078e435
0078e44d		ds "17PerkEventAreaExit"	s_17PerkEventAreaExit_0078e44d
0078e461		ds "21PerkEventMagicCharged"	s_21PerkEventMagicCharged_0078e461
0078e479		ds "HitPreCrit"	s_HitPreCrit_0078e479
0078e485		ds "HitPostCrit"	s_HitPostCrit_0078e485
0078e491		ds "PostHit"	s_PostHit_0078e491
0078e499		ds "AreaEnter"	s_AreaEnter_0078e499
0078e4a5		ds "AreaExit"	s_AreaExit_0078e4a5
0078e4b1		ds "PerkEventMagicCharged"	s_PerkEventMagicCharged_0078e4b1
0078e4c9		ds "ParentPerk"	s_ParentPerk_0078e4c9
0078e4d5		ds "MagicCharged"	s_MagicCharged_0078e4d5
0078e4e5		ds "DamageMin"	s_DamageMin_0078e4e5
0078e4f1		ds "DamageMax"	s_DamageMax_0078e4f1
0078e4fd		ds "10PerkObject"	s_10PerkObject_0078e4fd
0078e50d		ds "Perks: tactics template '%s' not found"	s_Perks:_tactics_template_'%s'_not_0078e50d
0078e535		ds "10PerksStage"	s_10PerksStage_0078e535
0078e545		ds "SetCooldown button = %s, frames = %i"	s_SetCooldown_button_=_%s,_frames_=_0078e545
0078e56d		ds "ModStart "	s_ModStart_0078e56d
0078e579		ds "ModDestruction "	s_ModDestruction_0078e579
0078e589		ds "PERK ----- "	s_PERK_-----_0078e589
0078e595		ds "PerkName: %s ModName: %s ModXML: %s"	s_PerkName:_%s_ModName:_%s_ModXML:_0078e595
0078e5b9		ds "Error: No fight on perk start"	s_Error:_No_fight_on_perk_start_0078e5b9
0078e5d9		ds "SetVariable %s = %f"	s_SetVariable_%s_=_%f_0078e5d9
0078e5ed		ds "ModVariable %s = %f"	s_ModVariable_%s_=_%f_0078e5ed
0078e601		ds "19RaidModelParameters"	s_19RaidModelParameters_0078e601
0078e619		ds "- WeaponDamage:     %3.3f"	s_-_WeaponDamage:_%3.3f_0078e619
0078e635		ds "- UnarmedDamage:    %3.3f"	s_-_UnarmedDamage:_%3.3f_0078e635
0078e651		ds "- BodyDefense:      %3.3f"	s_-_BodyDefense:_%3.3f_0078e651
0078e66d		ds "- HeadDefense:      %3.3f"	s_-_HeadDefense:_%3.3f_0078e66d
0078e689		ds "- RangedDamage:     %3.3f"	s_-_RangedDamage:_%3.3f_0078e689
