000014ea	s_tDeviceExtension.so;libs3eSmartF_000014ea	ds "tDeviceExtension.so;libs3eSmartFox.so;libs3eObbGui.so\"\n"	s_tDeviceExtension.so;libs3eSmartF_000014ea
0000205d		ds "s3eVideoPlay"	s_s3eVideoPlay_0000205d
0000206a		ds "glUniformMatrix3x4fv"	s_glUniformMatrix3x4fv_0000206a
0000207f		ds "s3eSurfacePtr"	s_s3eSurfacePtr_0000207f
0000208d		ds "glBlendEquationSeparate"	s_glBlendEquationSeparate_0000208d
000020a5		ds "glBindBufferBase"	s_glBindBufferBase_000020a5
000020b6		ds "glPixelStorei"	s_glPixelStorei_000020b6
000020c4		ds "glFrontFace"	s_glFrontFace_000020c4
000020d0		ds "glGetAttribLocation"	s_glGetAttribLocation_000020d0
000020e4		ds "glVertexBindingDivisor"	s_glVertexBindingDivisor_000020e4
000020fb		ds "glLightModelfv"	s_glLightModelfv_000020fb
0000210a	s_s3eKeyboardUpdate_0000210a	ds "s3eKeyboardUpdate"	s_s3eKeyboardUpdate_0000210a
0000211c		ds "s3eInetLookupCancel"	s_s3eInetLookupCancel_0000211c
00002130		ds "eglGetDisplay"	s_eglGetDisplay_00002130
0000213e		ds "glTexEnvf"	s_glTexEnvf_0000213e
00002148		ds "s3eAudioPlay"	s_s3eAudioPlay_00002148
00002155		ds "glMaterialf"	s_glMaterialf_00002155
00002161		ds "glGetShaderiv"	s_glGetShaderiv_00002161
0000216f		ds "s3ePointerUnRegister"	s_s3ePointerUnRegister_0000216f
00002184		ds "glLightModelxv"	s_glLightModelxv_00002184
00002193		ds "glNormal3x"	s_glNormal3x_00002193
0000219e		ds "s3eDeviceCheckQuitRequest"	s_s3eDeviceCheckQuitRequest_0000219e
000021b8		ds "s3eAudioSetInt"	s_s3eAudioSetInt_000021b8
000021c7		ds "eglInitialize"	s_eglInitialize_000021c7
000021d5		ds "glEndQuery"	s_glEndQuery_000021d5
000021e0		ds "glBlendFuncSeparate"	s_glBlendFuncSeparate_000021e0
000021f4		ds "s3eDebugOutputString"	s_s3eDebugOutputString_000021f4
00002209		ds "s3eSocketGetString"	s_s3eSocketGetString_00002209
0000221c		ds "glEnable"	s_glEnable_0000221c
00002225		ds "glPolygonOffsetx"	s_glPolygonOffsetx_00002225
00002236		ds "glLightModelf"	s_glLightModelf_00002236
00002244		ds "glVertexAttribFormat"	s_glVertexAttribFormat_00002244
00002259		ds "s3eMemorySetUserMemMgr"	s_s3eMemorySetUserMemMgr_00002259
00002270		ds "glLoadMatrixf"	s_glLoadMatrixf_00002270
0000227e		ds "s3eSurfaceSetup"	s_s3eSurfaceSetup_0000227e
0000228e		ds "glUniformMatrix4x2fv"	s_glUniformMatrix4x2fv_0000228e
000022a3		ds "glGenProgramPipelines"	s_glGenProgramPipelines_000022a3
000022b9		ds "glDepthFunc"	s_glDepthFunc_000022b9
000022c5		ds "glDrawElements"	s_glDrawElements_000022c5
000022d4		ds "glUniformMatrix4x3fv"	s_glUniformMatrix4x3fv_000022d4
000022e9		ds "glStencilOp"	s_glStencilOp_000022e9
000022f5		ds "s3eCompressionDecompRead"	s_s3eCompressionDecompRead_000022f5
00002315		ds "glTexParameterx"	s_glTexParameterx_00002315
00002325		ds "glDisable"	s_glDisable_00002325
0000232f		ds "glViewport"	s_glViewport_0000232f
0000233a		ds "glVertexAttribIFormat"	s_glVertexAttribIFormat_0000233a
00002350		ds "s3eSoundChannelStop"	s_s3eSoundChannelStop_00002350
00002364		ds "glMaterialxv"	s_glMaterialxv_00002364
00002371		ds "glStencilFuncSeparate"	s_glStencilFuncSeparate_00002371
00002387		ds "eglQueryContext"	s_eglQueryContext_00002387
00002397		ds "s3eVideoStop"	s_s3eVideoStop_00002397
000023a4		ds "glVertexAttribIPointer"	s_glVertexAttribIPointer_000023a4
000023bb		ds "s3eSoundPauseAllChannels"	s_s3eSoundPauseAllChannels_000023bb
000023d4		ds "s3eDebugGetInt"	s_s3eDebugGetInt_000023d4
000023e3	s_s3eSoundChannelSetInt_000023e3	ds "s3eSoundChannelSetInt"	s_s3eSoundChannelSetInt_000023e3
000023f9		ds "glUniformMatrix2x3fv"	s_glUniformMatrix2x3fv_000023f9
0000240e		ds "glLinkProgram"	s_glLinkProgram_0000240e
0000241c		ds "glSamplerParameteriv"	s_glSamplerParameteriv_0000241c
00002431		ds "glBindProgramPipeline"	s_glBindProgramPipeline_00002431
00002447		ds "glTexImage2D"	s_glTexImage2D_00002447
00002454		ds "glClearDepthf"	s_glClearDepthf_00002454
00002462		ds "s3ePointerRegister"	s_s3ePointerRegister_00002462
00002475		ds "eglGetConfigs"	s_eglGetConfigs_00002475
00002483		ds "eglQueryString"	s_eglQueryString_00002483
00002492		ds "s3eAudioPause"	s_s3eAudioPause_00002492
000024a0		ds "glUniformMatrix4fv"	s_glUniformMatrix4fv_000024a0
000024b3		ds "s3eExtGetHash"	s_s3eExtGetHash_000024b3
000024c1		ds "eglGetCurrentContext"	s_eglGetCurrentContext_000024c1
000024d6		ds "s3eAudioStop"	s_s3eAudioStop_000024d6
000024e3		ds "glActiveShaderProgram"	s_glActiveShaderProgram_000024e3
000024f9		ds "glDeleteShader"	s_glDeleteShader_000024f9
00002508		ds "eglDestroyContext"	s_eglDestroyContext_00002508
0000251a		ds "s3eKeyboardUnRegister"	s_s3eKeyboardUnRegister_0000251a
00002530		ds "glBindSampler"	s_glBindSampler_00002530
0000253e		ds "glGetQueryObjectuiv"	s_glGetQueryObjectuiv_0000253e
00002552		ds "glColorPointer"	s_glColorPointer_00002552
00002561		ds "glColorMask"	s_glColorMask_00002561
0000256d		ds "glBeginQuery"	s_glBeginQuery_0000256d
0000257a		ds "s3eKeyboardGetState"	s_s3eKeyboardGetState_0000257a
0000258e		ds "glUniform1uiv"	s_glUniform1uiv_0000258e
0000259c		ds "glTexParameteri"	s_glTexParameteri_0000259c
000025ac		ds "glGetIntegerv"	s_glGetIntegerv_000025ac
000025ba		ds "glUniformMatrix3fv"	s_glUniformMatrix3fv_000025ba
000025cd		ds "glUniformMatrix2fv"	s_glUniformMatrix2fv_000025cd
000025e0		ds "s3eFileTell"	s_s3eFileTell_000025e0
000025f4		ds "glStencilFunc"	s_glStencilFunc_000025f4
00002602		ds "glUniformMatrix3x2fv"	s_glUniformMatrix3x2fv_00002602
00002617		ds "glClear"	s_glClear_00002617
0000261f		ds "glCullFace"	s_glCullFace_0000261f
0000262a		ds "glFramebufferParameteri"	s_glFramebufferParameteri_0000262a
00002642		ds "s3eTimerGetUST"	s_s3eTimerGetUST_00002642
00002651		ds "glGetActiveUniform"	s_glGetActiveUniform_00002651
00002664		ds "s3eSocketReadable"	s_s3eSocketReadable_00002664
00002676		ds "s3eFileGetSize"	s_s3eFileGetSize_00002676
00002685		ds "s3eFileGetError"	s_s3eFileGetError_00002685
00002695		ds "glStencilMask"	s_glStencilMask_00002695
000026a3		ds "glNormal3f"	s_glNormal3f_000026a3
000026ae		ds "s3eSoundChannelPlay"	s_s3eSoundChannelPlay_000026ae
000026c2		ds "s3eFileReadString"	s_s3eFileReadString_000026c2
000026d4		ds "s3eDeviceExit"	s_s3eDeviceExit_000026d4
000026e2		ds "s3eSoundGetError"	s_s3eSoundGetError_000026e2
000026f3		ds "glLightfv"	s_glLightfv_000026f3
000026fd		ds "s3eFileDelete"	s_s3eFileDelete_000026fd
0000270b		ds "glBindVertexArray"	s_glBindVertexArray_0000270b
0000271d		ds "s3eAccelerometerGetX"	s_s3eAccelerometerGetX_0000271d
00002732		ds "glFramebufferTextureLayer"	s_glFramebufferTextureLayer_00002732
0000274c		ds "s3eInetHtons"	s_s3eInetHtons_0000274c
00002759		ds "glGenQueries"	s_glGenQueries_00002759
00002766		ds "s3eSocketConnect"	s_s3eSocketConnect_00002766
00002777		ds "glBindAttribLocation"	s_glBindAttribLocation_00002777
0000278c		ds "glBufferData"	s_glBufferData_0000278c
00002799		ds "glLightx"	s_glLightx_00002799
000027a2		ds "s3eAudioRegister"	s_s3eAudioRegister_000027a2
000027b3		ds "glAttachShader"	s_glAttachShader_000027b3
000027c2		ds "s3eSocketSend"	s_s3eSocketSend_000027c2
000027d0		ds "glUniform1iv"	s_glUniform1iv_000027d0
000027dd		ds "glTexStorage3D"	s_glTexStorage3D_000027dd
000027ec		ds "glSampleMaski"	s_glSampleMaski_000027ec
00002801	s_glVertexAttribPointer_00002801	ds "glVertexAttribPointer"	s_glVertexAttribPointer_00002801
00002817		ds "glGetError"	s_glGetError_00002817
00002822		ds "s3eDebugAssertShow"	s_s3eDebugAssertShow_00002822
00002835		ds "glEnableVertexAttribArray"	s_glEnableVertexAttribArray_00002835
0000284f		ds "s3eInetLookup"	s_s3eInetLookup_0000284f
0000285d		ds "s3eDeviceGetInt"	s_s3eDeviceGetInt_0000285d
0000286d		ds "s3eKeyboardSetInt"	s_s3eKeyboardSetInt_0000286d
0000287f		ds "eglSwapBuffers"	s_eglSwapBuffers_0000287f
0000288e		ds "glTexCoordPointer"	s_glTexCoordPointer_0000288e
000028a0		ds "s3eCompressionDecompFinal"	s_s3eCompressionDecompFinal_000028a0
000028ba		ds "s3eFileEOF"	s_s3eFileEOF_000028ba
000028c5		ds "eglGetError"	s_eglGetError_000028c5
000028d1		ds "eglGetCurrentSurface"	s_eglGetCurrentSurface_000028d1
000028e6		ds "s3eFileSeek"	s_s3eFileSeek_000028e6
000028f2		ds "glTexParameteriv"	s_glTexParameteriv_000028f2
00002903		ds "s3eSoundGetFreeChannel"	s_s3eSoundGetFreeChannel_00002903
0000291a		ds "s3eSoundResumeAllChannels"	s_s3eSoundResumeAllChannels_0000291a
00002934		ds "glTexEnvi"	s_glTexEnvi_00002934
0000293e		ds "glCreateShader"	s_glCreateShader_0000293e
0000294d		ds "glTexEnvfv"	s_glTexEnvfv_0000294d
00002958		ds "glBindTransformFeedback"	s_glBindTransformFeedback_00002958
00002970		ds "s3eSurfaceRegister"	s_s3eSurfaceRegister_00002970
00002983		ds "glCompileShader"	s_glCompileShader_00002983
00002993		ds "eglTerminate"	s_eglTerminate_00002993
000029a0		ds "s3eVideoIsPlaying"	s_s3eVideoIsPlaying_000029a0
000029b2		ds "glClipPlanex"	s_glClipPlanex_000029b2
000029bf		ds "glColor4f"	s_glColor4f_000029bf
000029c9		ds "glDepthRangef"	s_glDepthRangef_000029c9
000029d7		ds "glLineWidthx"	s_glLineWidthx_000029d7
000029e4		ds "s3eAccelerometerStop"	s_s3eAccelerometerStop_000029e4
000029f9		ds "glBindVertexBuffer"	s_glBindVertexBuffer_000029f9
00002a0c		ds "glDeleteTextures"	s_glDeleteTextures_00002a0c
00002a1d		ds "s3eDeviceYieldUntilEvent"	s_s3eDeviceYieldUntilEvent_00002a1d
00002a36		ds "s3eFileOpen"	s_s3eFileOpen_00002a36
00002a42		ds "glBindBuffer"	s_glBindBuffer_00002a42
00002a4f		ds "glDisableVertexAttribArray"	s_glDisableVertexAttribArray_00002a4f
00002a6a		ds "s3eKeyboardRegister"	s_s3eKeyboardRegister_00002a6a
00002a7e		ds "s3eSurfaceShow"	s_s3eSurfaceShow_00002a7e
00002a8d		ds "s3eGLUnRegister"	s_s3eGLUnRegister_00002a8d
00002a9d		ds "s3eDeviceRegister"	s_s3eDeviceRegister_00002a9d
00002aaf		ds "s3eDeviceSetInt"	s_s3eDeviceSetInt_00002aaf
00002abf		ds "s3eFileGetChar"	s_s3eFileGetChar_00002abf
00002ace		ds "s3ePointerUpdate"	s_s3ePointerUpdate_00002ace
00002b00	s_s3eAccelerometerStart_00002b00	ds "s3eAccelerometerStart"	s_s3eAccelerometerStart_00002b00
00002b16		ds "glGetString"	s_glGetString_00002b16
00002b22		ds "glRotatef"	s_glRotatef_00002b22
00002b2c		ds "s3eTimerGetMs"	s_s3eTimerGetMs_00002b2c
00002b3a		ds "glVertexPointer"	s_glVertexPointer_00002b3a
00002b4a		ds "glCompressedTexSubImage3D"	s_glCompressedTexSubImage3D_00002b4a
00002b64		ds "glLightxv"	s_glLightxv_00002b64
00002b6e		ds "glTexSubImage2D"	s_glTexSubImage2D_00002b6e
00002b7e		ds "s3eCompressionDecompInit"	s_s3eCompressionDecompInit_00002b7e
00002b97		ds "glShadeModel"	s_glShadeModel_00002b97
00002ba4		ds "s3eTimerGetLocaltimeOffset"	s_s3eTimerGetLocaltimeOffset_00002ba4
0004c750		addr s_ileSeek_000028e6+4	DATA<< OFFCUT >>
0004c758		addr s__00001adb+0xf	DATA<< OFFCUT >>
00052484		addr s_ameters_00779edd+8	DATA<< OFFCUT >>
00052488		addr s_MenuScreens_007836c1+0x2a	DATA<< OFFCUT >>
0005248c		addr s_Delay:_%d_0077f6d9+0x12	DATA<< OFFCUT >>
00074018		addr s_lendEquationSeparate_0000208d+3	DATA<< OFFCUT >>
0007401c		addr s_eMemoryGetInt_00001de8+2	DATA<< OFFCUT >>
00074020		addr s__00001adb+0xf	DATA<< OFFCUT >>
00074024		addr s_rCancelTimer_000017e3+7	DATA<< OFFCUT >>
00074028		addr s_tDeviceExtension.so;libs3eSmartF_000014ea	DATA
000745c0		addr s_ontext_00002387+9	DATA<< OFFCUT >>
000745c4		addr s_exBindingDivisor_000020e4+6	DATA<< OFFCUT >>
000745c8		addr s_eMemoryGetInt_00001de8+2	DATA<< OFFCUT >>
000745cc		addr s__00001adb+0xf	DATA<< OFFCUT >>
000745d0		addr s_rCancelTimer_000017e3+7	DATA<< OFFCUT >>
000745d4		addr s_tDeviceExtension.so;libs3eSmartF_000014ea	DATA
000753e4		addr s_lendEquationSeparate_0000208d+3	DATA<< OFFCUT >>
000753e8		addr s_eMemoryGetInt_00001de8+2	DATA<< OFFCUT >>
000753ec		addr s__00001adb+0xf	DATA<< OFFCUT >>
000753f0		addr s_rCancelTimer_000017e3+7	DATA<< OFFCUT >>
000753f4		addr s_tDeviceExtension.so;libs3eSmartF_000014ea	DATA
000758e4		addr s_elerometerStop_000029e4+6	DATA<< OFFCUT >>
000758e8		addr s_GetError_000026e2+8	DATA<< OFFCUT >>
000758ec		addr s_dChannelSetInt_000023e3+7	DATA<< OFFCUT >>
000758f0		addr s_exBindingDivisor_000020e4+6	DATA<< OFFCUT >>
000758f4		addr s_eMemoryGetInt_00001de8+2	DATA<< OFFCUT >>
000758f8		addr s__00001adb+0xf	DATA<< OFFCUT >>
000758fc		addr s_rCancelTimer_000017e3+7	DATA<< OFFCUT >>
00075900		addr s_tDeviceExtension.so;libs3eSmartF_000014ea	DATA
000b5168		addr s_l_000025e0+0xa	DATA<< OFFCUT >>
000b516c		addr s_eShaderProgram_000024e3+7	DATA<< OFFCUT >>
000b8668		addr s_eShaderProgram_000024e3+7	DATA<< OFFCUT >>
000b866c		addr s_GetError_000026e2+8	DATA<< OFFCUT >>
000b8674		addr s_D_000027dd+0xd	DATA<< OFFCUT >>
000c167c		addr s_Uniform1uiv_0000258e+2	DATA<< OFFCUT >>
000c168c		addr s_cSeparate_000021e0+0xa	DATA<< OFFCUT >>
